Week of,Henry Hub Natural Gas Spot Price Dollars per Million Btu
09/28/2018,3.06
09/21/2018,3.03
09/14/2018,2.93
09/7/2018,2.94
08/31/2018,2.97
08/24/2018,3.01
08/17/2018,3
08/10/2018,2.96
08/3/2018,2.8
07/27/2018,2.79
07/20/2018,2.78
07/13/2018,2.89
07/6/2018,2.91
06/29/2018,2.98
06/22/2018,2.99
06/15/2018,2.99
06/8/2018,2.92
06/1/2018,2.88
05/25/2018,2.83
05/18/2018,2.8
05/11/2018,2.76
05/4/2018,2.75
04/27/2018,2.8
04/20/2018,2.83
04/13/2018,2.78
04/6/2018,2.79
03/30/2018,2.67
03/23/2018,2.66
03/16/2018,2.71
03/9/2018,2.74
03/2/2018,2.64
02/23/2018,2.62
02/16/2018,2.54
02/9/2018,2.75
02/2/2018,3.3
01/26/2018,3.43
01/19/2018,4.12
01/12/2018,3.24
01/5/2018,5.71
12/29/2017,3.03
12/22/2017,2.69
12/15/2017,2.77
12/8/2017,2.84
12/1/2017,2.94
11/24/2017,3.05
11/17/2017,3.1
11/10/2017,3.12
11/3/2017,2.78
10/27/2017,2.91
10/20/2017,2.84
10/13/2017,2.92
10/6/2017,2.84
09/29/2017,2.96
09/22/2017,3.09
09/15/2017,2.96
09/8/2017,2.91
09/1/2017,2.93
08/25/2017,2.97
08/18/2017,2.95
08/11/2017,2.85
08/4/2017,2.8
07/28/2017,2.96
07/21/2017,3.09
07/14/2017,2.96
07/7/2017,2.95
06/30/2017,3.01
06/23/2017,2.89
06/16/2017,3.03
06/9/2017,2.98
06/2/2017,3.03
05/26/2017,3.18
05/19/2017,3.21
05/12/2017,3.12
05/5/2017,3.14
04/28/2017,3.09
04/21/2017,3.1
04/14/2017,3.05
04/7/2017,3.18
03/31/2017,3.03
03/24/2017,2.99
03/17/2017,2.96
03/10/2017,2.75
03/3/2017,2.52
02/24/2017,2.62
02/17/2017,2.87
02/10/2017,3.04
02/3/2017,3.12
01/27/2017,3.27
01/20/2017,3.29
01/13/2017,3.27
01/6/2017,3.47
12/30/2016,3.69
12/23/2016,3.51
12/16/2016,3.57
12/9/2016,3.69
12/2/2016,3.21
11/25/2016,2.76
11/18/2016,2.44
11/11/2016,2.22
11/4/2016,2.5
10/28/2016,2.72
10/21/2016,3.14
10/14/2016,3.17
10/7/2016,2.91
09/30/2016,3.01
09/23/2016,3.11
09/16/2016,3.02
09/9/2016,2.87
09/2/2016,2.94
08/26/2016,2.82
08/19/2016,2.73
08/12/2016,2.77
08/5/2016,2.88
07/29/2016,2.85
07/22/2016,2.79
07/15/2016,2.81
07/8/2016,2.82
07/1/2016,2.89
06/24/2016,2.75
06/17/2016,2.59
06/10/2016,2.36
06/3/2016,2.15
05/27/2016,1.84
05/20/2016,1.89
05/13/2016,2
05/6/2016,1.96
04/29/2016,1.92
04/22/2016,1.91
04/15/2016,1.9
04/8/2016,1.96
04/1/2016,1.86
03/25/2016,1.79
03/18/2016,1.79
03/11/2016,1.64
03/4/2016,1.57
02/26/2016,1.82
02/19/2016,1.94
